Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
41,22PT1202-1,FDL-105B-T05,Kosakonia sacchari,SKP,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.33E+10,,7.22E+09,,,-0.009475516,1,,,,-1.87E+01,0.337,,0.299,,,,,,
42,22PT1202-3,FDL-105B-T06,Kosakonia sacchari,DSR,pellet_4_mylar_n,"T+P, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,6.69E+10,,5.93E+10,,,-0.001871002,1,,,,2.80E+02,n/m,,,,,,,,
43,22PT1202-3,FDL-105B-T06,Kosakonia sacchari,DSR,bulked powder_4_mylar_n,"T+P, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,4.22E+10,,2.62E+10,,,-0.007374067,1,,,,4.39E+01,0.381,,,,,,,,
44,22PT1202-3,FDL-105B-T06,Kosakonia sacchari,DSR,bulked powder_21_mylar_n,"T+P, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,4.22E+10,,1.10E+10,,,-0.020846925,1,,,,1.55E+01,0.381,,0.318,,,,,,
45,22PT1202-4,FDL-105B-T07,Kosakonia sacchari,SKP,pellet_4_mylar_n,"T+P, 0.7% XG",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.77E+10,,2.96E+10,,,-0.003730827,1,,,,7.38E+01,n/m,,,,,,,,
46,22PT1202-4,FDL-105B-T07,Kosakonia sacchari,SKP,bulked powder_4_mylar_n,"T+P, 0.7% XG",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.03E+10,,3.04E+09,,,-0.018866921,1,,,,-1.54E+01,0.405,,,,,,,,
47,22PT1202-4,FDL-105B-T07,Kosakonia sacchari,SKP,bulked powder_21_mylar_n,"T+P, 0.7% XG",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.03E+10,,5.32E+09,4.12E+09,3.97E+09,-0.004815892,0.831629015,0.003003161,-0.007819053,-0.001812731,-6.02E+01,0.405,,0.35,0.343,0.356,,,,
48,22PT1202-6,FDL-105B-T09,Kosakonia sacchari,DSR,pellet_4_mylar_n,"T+P, 0.7% XG",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,5.89E+10,,7.45E+10,,,0.003640156,1,,,,-1.29E+02,0.2,,,,,,,,
49,22PT1202-6,FDL-105B-T09,Kosakonia sacchari,DSR,bulked powder_4_mylar_n,"T+P, 0.7% XG",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.57E+10,,3.31E+10,,,-0.001200307,1,,,,2.10E+02,0.334,,,,,,,,
50,22PT1202-6,FDL-105B-T09,Kosakonia sacchari,DSR,bulked powder_21_mylar_n,"T+P, 0.7% XG",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.57E+10,,1.94E+10,,,-0.009468204,1,,,,2.66E+01,0.334,,0.299,,,,,,
