ID,FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dry in-house,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
46,23PT0126-5,FDL-105K-T44,Kosakonia sacchari,1/25/23,P010-23-Y005,14L,"tryptone + potato peptone, low top feed rate, no EPS, w 0.7% XG",48,1.82E+11,1,1/26/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/15/23,PVT380,380,26,,2/22/23,FALSE,tan/softened chunks of pellets,Foil pouch,0.43,1.30E+11,0.285,20.36,-0.69
47,23PT0126-6,FDL-105K-T45,Kosakonia sacchari,1/25/23,P010-23-Y005,14L,"tryptone + potato peptone, low top feed rate, no EPS, w 0.7% XG",48,1.82E+11,1,1/26/23,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2/15/23,PVT380,380,26,,2/22/23,FALSE,tan/white speckled pellets; free flowing,Foil pouch,0.38,1.22E+11,0.342,22.93,-0.64
48,IFF12282022-3,FDL-107A-T01,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/13/23,OFD9-380,380,53,,2/17/23,FALSE,"brown, collapsed pellet; free-flowing, dusty",Foil pouch,0.09,75400000000,0.285,,
49,IFF12122022-4,FDL-107EF-T15,Klebsiella variicola,,Dec-CR,150K,"Glucose, high EPS, CR",,,,12/12/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/31/23,IFF-04,380,59,,2/17/23,FALSE,"light tan/white speckled, free-flowing",Foil pouch,0.08,1.22E+11,0.285,,
50,IFF12282022-4,FDL-107EF-T16,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/31/23,IFF-04,380,59,,2/17/23,FALSE,"light tan/white speckled, free-flowing",Foil pouch,0.13,1.31E+11,0.285,,
51,IFF12282022-5,FDL-107H-T19,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/7/23,OFD9-380,380,50,,2/17/23,FALSE,"dark tan/white speckled, free-flowing",Foil pouch,0.07,1.32E+11,0.285,,
52,IFF12122022-5,FDL-107IJ-T22,Klebsiella variicola,,Dec-CR,150K,"Glucose, high EPS, CR",,,,12/12/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/7/23,PVT090-A1,380-580,53,,2/17/23,FALSE,"light-brown/tan/white speckled, free-flowing",Foil pouch,0.1,1.77E+11,0.285,,
53,IFF12282022-6,FDL-107LM-T25,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/10/23,OFD9M2,380,51,,2/17/23,FALSE,"brown/white speckled, free flowing, some chunks",Foil pouch,0.28,1.53E+11,0.285,,
54,IFF12122022-6,FDL-107LM-T26,Klebsiella variicola,,Dec-CR,150K,"Glucose, high EPS, CR",,,,12/12/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/10/23,OFD9M2,380,54,,2/17/23,FALSE,"tan/white speckled, free-flowing",Foil pouch,0.18,1.57E+11,0.285,,
55,IFF12282022-7,FDL-107K-T30,Kosakonia sacchari,,Dec-CR,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/10/23,IFF-04,380,51,,2/17/23,FALSE,"light-brown/white speckled, free-flowing, one chunk/wet spot",Foil pouch,0.38,89900000000,0.285,,
56,22PT1013-1,FDL-105LM-T46 ,Klebsiella variicola,10/13/22,P080-22-Y025,14L,Glucose,48,3.72E+11,0,10/13/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2/24/23,OFD9-110,380,53,,3/3/23,FALSE,"free-flowing, light tan/white pellets with some clumps, no dust",Foil pouch,0.02,5.13E+11,0.38,52.4,-0.28
57,22PT1102-1,FDL-105LM-T47,Kosakonia sacchari,11/2/22,P080-22-Y033,14L,Glucose,48,1.50E+11,0,11/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,2/24/23,OFD9-110,110,53,,3/3/23,FALSE,"fre-flowing pellets, light tan/which, with some clumps, no dust",Foil pouch,0.02,11800000000,0.38,2.99,-1.52
58,22PT1102-4,FDL-105N-T49,Kosakonia sacchari,11/2/22,P080-22-Y034,14L,Greens ,48,1.36E+11,0,11/2/22,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,,3/1/23,OFD9M3,580,48,,3/8/23,FALSE,"tannish-yellow, released as cake with some unassisted breakup into pellets",Foil pouch,0.26,1.32E+11,0.38,36.88,-0.43
59,IFF12122022-7,FDL-107N-T31,Klebsiella variicola,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/17/23,OFD9M2,380,53,,3/8/23,FALSE,"light grown/white speckled, free-flowing",Foil pouch,0.04,1.47E+11,0.285,,
60,IFF12282022-8,FDL-107N-T33,Kosakonia sacchari,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/17/23,OFD9M2,380,53,,3/8/23,FALSE,"brown/white speckled, free-flowing",Foil pouch,0.08,1.25E+11,0.285,,
61,IFF12122022-8,FDL-107P-T35,Klebsiella variicola,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/1/23,OFD9M3,580,48,,3/8/23,FALSE,"light brown particles, free-flowing",Foil pouch,0.13,3.99E+11,0.285,,
62,IFF12122022-9,FDL-107Q-T37,Klebsiella variicola,,Dec-CR,,Glucose,,,,,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/3/23,IFF-05,580,46,,3/8/23,FALSE,"tan/white speckled particles, free-flowing",Foil pouch,0.32,3.74E+11,0.285,,
63,IFF12282022-9,FDL-111A-T01,Kosakonia sacchari,,Dec-CR,,Glucose,,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/24/23,PVT380,380,22,0.05,3/30/23,FALSE,"tan/white speckled, free-flowing",Foil pouch,0.24,3.01E+11,0.285,,
64,23PT0227-4,FDL-111A-T02,Kosakonia sacchari,2/24/23,P010-23-Y011,14L,Tryptone only,48,1.83E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/24/23,PVT380,380,22,0.05,3/30/23,FALSE,"tan pellets, free-flowing",Foil pouch,0.12,1.65E+11,0.285,25.7,-0.59
65,23PT0227-6,FDL-111A-T03,Kosakonia sacchari,2/24/23,P010-23-Y012,14L,Peptone only,48,1.96E+11,3,2/27/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,3/24/23,PVT380,380,22,0.05,3/30/23,FALSE,"tan pellets, free-flowing",Foil pouch,0.12,2.36E+11,0.285,34.32,-0.46
