FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
22PT1117-9,FDL-105B-T11,Klebsiella variicola,2022-11-17,P080-22-Y043,14L," Potato peptone and tryptone, low viscosity",48.0,270000000000.0,0.0,2022-11-17,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,"dark brown/white speckled pellets, some clumps",Foil pouch,0.1,414000000000.0,0.342,52.44,-0.28
22PT1202-2,FDL-105B-T12,Kosakonia sacchari,2022-12-01,P080-22-Y046 ,14L," Potato peptone and tryptone, low viscosity",48.0,118000000000.0,1.0,2022-12-02,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2022-12-16,PVT090-A0,110-580,57.0,,2022-12-22 00:00:00,"cake with some pellets, poor tray release",Foil pouch,n/m,98800000000.0,0.285,23.86,-0.62
22PT1216-3,FDL-105C-T13,Klebsiella variicola,2022-12-11,Dec-CR-KLUB,150K,"Glucose, high EPS, CR broth",47.0,155000000000.0,5.0,2022-12-16,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-06,PVT090-A0,110-580,57.0,,2023-01-11 00:00:00,"light brown/white speckled, free-flowing pellets, no dust",Foil pouch,0.05,331000000000.0,0.342,73.03,-0.14
22PT1102-8,FDL-105C-T14,Klebsiella variicola,2022-11-02,P080-22-Y035,14L,"Glucose, no EPS",40.0,364000000000.0,0.0,2022-11-02,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-06,PVT090-A0,110-580,57.0,,2023-01-11 00:00:00,"light-brown/white speckled, free-flowing pellets and large clumps, some dust",Foil pouch,0.13,733000000000.0,0.285,57.39,-0.24
22PT1117-5,FDL-105C-T15,Kosakonia sacchari,2022-11-17,P080-22-Y042,14L,"Potato peptone only, less EPS, pH control",48.0,132000000000.0,0.0,2022-11-17,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-06,PVT090-A0,110-580,57.0,,2023-01-11 00:00:00,"light-brown/white speckled, free-flowing pellets and small clumps",Foil pouch,0.07,137000000000.0,0.285,29.58,-0.53
22PT1102-9,FDL-105C-T16,Klebsiella variicola,2022-11-02,P080-22-Y035,14L,"Glucose, no EPS",40.0,364000000000.0,0.0,2022-11-02,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-06,PVT090-A0,110-580,57.0,,2023-01-11 00:00:00,"light-brown/white speckled, pellets and chucks, no dust",Foil pouch,0.08,479000000000.0,0.342,45.0,-0.35
22PT1117-6,FDL-105C-T17,Kosakonia sacchari,2022-11-17,P080-22-Y042,14L,"Potato peptone only, less EPS, pH control",48.0,132000000000.0,0.0,2022-11-17,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2023-01-06,PVT090-A0,110-580,57.0,,2023-01-11 00:00:00,"tannish/white speckled, free-flowing pellets and some chunks",Foil pouch,0.08,109000000000.0,0.342,28.24,-0.55
22PT1216-2,FDL-105C-T18,Klebsiella variicola,2022-12-11,Dec-CR-KLUB,150K,"Glucose, high EPS, CR broth",47.0,155000000000.0,5.0,2022-12-16,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2023-01-06,PVT090-A0,110-580,57.0,,2023-01-11 00:00:00,"brown/white speckled, free-flowing pellets and some strings, no dust",Foil pouch,0.06,418000000000.0,0.285,76.86,-0.11
22PT1216-1,FDL-105D-T19,Klebsiella variicola,2022-12-11,Dec-CR-KLUB,150K,"Glucose, high EPS, CR broth",47.0,155000000000.0,5.0,2022-12-16,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-06,OFD9-380,380,53.0,,2023-01-11 00:00:00,"light brown, friable cake of rounded pellets, little dust",Foil pouch,0.24,365000000000.0,0.38,89.48,-0.05
22PT1102-7,FDL-105D-T20,Klebsiella variicola,2022-11-02,P080-22-Y035,14L,"Glucose, no EPS",40.0,364000000000.0,0.0,2022-11-02,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2023-01-06,OFD9-380,380,53.0,,2023-01-11 00:00:00,"tan, friable cake, little dust",Foil pouch,0.19,562000000000.0,0.38,58.67,-0.23
